"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1926988400348795340","Mon May 26 13:52:16 +0000 2025","233","@catturd2 This is what happens when a weak man like Emmanuel Macron marries a dude with a wig he gets manhandled and slapped in the face. Emmanuel Macron was probably threatening to go public that he married a man and was groomed as a child and got a warning slap by him No you're not! https://t.co/wqnzjdEnMJ","1926999831886598614","https://pbs.twimg.com/amplify_video_thumb/1926998311073902592/img/EiGPyiltDYSbRTpi.jpg","catturd2","en","","8","15","81","https://x.com/undefined/status/1926999831886598614","1576104206531960832",
"1926971327379886222","Mon May 26 11:59:00 +0000 2025","1074","I m not sure why there is a great deal of controversy with Brigitte Macron slapping Emmanuel Macron. The world functioned better when fathers smacked their children when they got out of line. Brigitte is just being a good father.","1926971327379886222","","","en","","7","79","100","https://x.com/undefined/status/1926971327379886222","46302096",
"1926916155660292260","Mon May 26 08:19:46 +0000 2025","631","Emmanuel Macron is welcomed with a Hot clap upon Arrival in Vietnam. Marrying your grandfather brings bad luck https://t.co/R380kZEdvH","1926916155660292260","https://pbs.twimg.com/amplify_video_thumb/1926916083593736192/img/p7s0ovmJrlAodwDQ.jpg","","en","","5","34","130","https://x.com/undefined/status/1926916155660292260","338004749",
"1927044176090198510","Mon May 26 16:48:28 +0000 2025","244","Em-main-nuel Macron. https://t.co/c95lGSY7IE","1927044176090198510","https://pbs.twimg.com/media/Gr48dhkXwAEfHpz.jpg","","en","","2","21","57","https://x.com/undefined/status/1927044176090198510","3402184198",
"1926936418942677409","Mon May 26 09:40:17 +0000 2025","193"," Macron: Slapped at Home Rejected Abroad From Brigitte s viral moment to being politically humiliated by African leaders like Ibrahim Traoré Macron is fast becoming a symbol of Western decline. Yet Abiy Ahmed still pins his hopes on him to rescue a failing regime in https://t.co/PcozaHtqqM","1926936418942677409","https://pbs.twimg.com/amplify_video_thumb/1926934193897910272/img/mmw_ASkzCZSvhpVy.jpg","","en","","6","8","129","https://x.com/undefined/status/1926936418942677409","531273307",
"1927099924547813533","Mon May 26 20:30:00 +0000 2025","1300"," She's got shoulders like a linebacker an Adam's apple the size of Alabama. @itslinklauren reacts to French President Emmanuel Macron getting MAULED by his wife in public! https://t.co/dctOhSXXDr","1927099924547813533","https://pbs.twimg.com/amplify_video_thumb/1927090089806487553/img/KGLqxOT4p6VHpVjH.jpg","","en","","5","43","134","https://x.com/undefined/status/1927099924547813533","1904330073265799168",
"1927051937985245373","Mon May 26 17:19:19 +0000 2025","81","Emmanuel Macron s wife slapped him in the face and then refused to hold his arm https://t.co/lsOhMwCIWU","1927051937985245373","https://pbs.twimg.com/amplify_video_thumb/1926939448983302144/img/YqrQT52DSZ9M0F4n.jpg","","en","","7","36","49","https://x.com/undefined/status/1927051937985245373","1653780937379815424",
"1926957874917282131","Mon May 26 11:05:33 +0000 2025","459"," Brigitte Macron caught hitting her husband Emmanuel Macron in the face. https://t.co/8V80iP5VyS","1926957874917282131","","","en","","12","86","69","https://x.com/undefined/status/1926957874917282131","91416107",
"1926927785894842797","Mon May 26 09:05:59 +0000 2025","350","Macron gets slapped in the face by his WIFE Brigitte. In a viral video Brigitte Macron hit Macron in the face as the French President appears shocked. His office initially denied the incident but has now come out and said it was teasing. https://t.co/Kk57fcpNJA","1926927785894842797","https://pbs.twimg.com/amplify_video_thumb/1926913730844950528/img/mD3_YlquLIaigFw8.jpg","","en","","18","73","59","https://x.com/undefined/status/1926927785894842797","91416107",
"1926910131138093429","Mon May 26 07:55:50 +0000 2025","142","Emmanuel Macron Gets Punched in the Face by His Wife / Husband / Grandmother/ Grandfather. .... Who knows??? https://t.co/27NhJ8MK0b","1926910131138093429","https://pbs.twimg.com/ext_tw_video_thumb/1926910101744394242/pu/img/iAnejYtwjwbqhM6u.jpg","","en","","8","19","37","https://x.com/undefined/status/1926910131138093429","1874904902440214528",
"1926986099487809973","Mon May 26 12:57:42 +0000 2025","444","I have nothing to do with Emmanuel Macron because I really don t like his personality especially when he makes deals with terrorists and has repeatedly betrayed the people of Iran and Israel. But let s be clear: if a man had done the same thing to a woman every feminist group https://t.co/H8UCxZTqBg","1926986099487809973","https://pbs.twimg.com/amplify_video_thumb/1926986041983946752/img/5iipsjL9QkpAvjUF.jpg","","en","","0","35","39","https://x.com/undefined/status/1926986099487809973","1370279648970555392",
"1927091512380199375","Mon May 26 19:56:34 +0000 2025","27","the clown macron was not hugged by his husband https://t.co/Dkkw30SgX8","1927091512380199375","https://pbs.twimg.com/ext_tw_video_thumb/1927091340187250688/pu/img/IJTtoUd5qsPv6dmT.jpg","","en","","1","0","4","https://x.com/undefined/status/1927091512380199375","450555438",
